time,ax,ay,az,atotal
0.000,-0.00,0.00,-0.00,0.01
0.010,-0.02,0.01,-0.02,0.03
0.020,-0.01,0.02,-0.01,0.02
0.030,0.02,0.02,-0.02,0.03
0.040,-0.00,0.01,-0.01,0.01
0.050,-0.01,0.01,-0.02,0.02
0.060,0.00,0.01,-0.02,0.02
0.070,-0.00,0.02,-0.01,0.02
0.080,-0.01,0.01,-0.01,0.02
0.090,-0.01,-0.00,-0.02,0.02
0.100,0.00,0.00,-0.01,0.01
0.110,-0.00,0.01,-0.02,0.02
0.120,-0.00,0.00,-0.01,0.02
0.130,-0.00,0.01,-0.02,0.02
0.140,0.01,0.01,-0.01,0.01
0.150,-0.00,0.00,-0.00,0.01
0.160,0.01,0.01,-0.02,0.02
0.170,-0.01,-0.00,-0.02,0.02
0.180,0.01,0.00,-0.01,0.01
0.190,0.01,-0.00,-0.01,0.01
0.200,-0.00,0.01,-0.01,0.01
0.210,-0.02,-0.02,-0.01,0.03
0.220,-0.02,0.01,-0.01,0.02
0.230,-0.02,0.01,-0.01,0.03
0.240,-0.00,0.02,-0.01,0.02
0.250,-0.00,0.01,-0.02,0.02
0.260,0.01,0.00,-0.01,0.01
0.270,-0.00,0.00,-0.01,0.01
0.279,0.00,0.02,-0.02,0.02
0.290,-0.00,0.02,-0.00,0.02
0.300,-0.01,-0.00,-0.02,0.02
0.309,-0.02,0.01,-0.02,0.03
0.319,-0.01,0.01,-0.02,0.02
0.329,-0.01,0.00,-0.01,0.01
0.340,-0.02,0.01,-0.01,0.03
0.349,-0.02,0.02,-0.02,0.04
0.359,-0.01,0.01,-0.02,0.02
0.369,-0.02,0.01,-0.01,0.02
0.379,-0.02,0.00,-0.02,0.03
0.389,-0.02,-0.01,-0.02,0.03
0.399,-0.01,-0.00,-0.01,0.02
0.409,-0.01,0.01,0.00,0.01
0.419,0.00,-0.01,-0.02,0.02
0.429,-0.02,-0.01,-0.01,0.02
0.439,-0.03,0.01,-0.01,0.03
0.449,-0.01,0.01,-0.01,0.02
0.459,-0.02,-0.00,-0.01,0.02
0.469,-0.00,0.01,-0.02,0.02
0.479,0.00,-0.00,-0.02,0.02
0.489,-0.00,-0.01,-0.02,0.02
0.499,-0.00,0.02,-0.00,0.02
0.509,-0.00,0.01,-0.01,0.01
0.519,0.00,0.00,-0.01,0.01
0.529,-0.01,0.02,-0.00,0.02
0.539,-0.02,-0.00,-0.00,0.02
0.549,-0.00,0.01,-0.01,0.02
0.559,-0.02,0.03,-0.00,0.03
0.569,0.00,0.01,-0.01,0.02
0.579,0.00,-0.00,-0.00,0.00
0.589,0.00,-0.01,-0.01,0.02
0.599,-0.01,0.01,-0.01,0.02
0.609,-0.00,-0.00,-0.00,0.01
0.619,-0.01,0.01,-0.01,0.01
0.629,0.01,0.01,-0.02,0.02
0.639,-0.00,0.00,-0.01,0.01
0.649,0.01,0.01,-0.01,0.02
0.659,-0.01,0.00,-0.01,0.02
0.669,0.00,0.02,-0.02,0.03
0.679,-0.01,0.00,-0.01,0.02
0.689,-0.01,0.02,0.00,0.02
0.699,-0.01,-0.01,-0.01,0.02
0.709,-0.01,0.00,-0.01,0.01
0.719,0.01,0.02,-0.00,0.02
0.729,-0.02,0.02,-0.00,0.03
0.739,-0.01,0.02,-0.00,0.03
0.749,-0.00,0.02,-0.01,0.02
0.759,-0.01,0.01,-0.02,0.02
0.769,-0.00,-0.00,-0.02,0.02
0.779,-0.01,0.00,-0.01,0.01
0.789,-0.01,0.00,-0.02,0.02
0.799,-0.01,-0.00,-0.02,0.02
0.809,-0.02,0.02,-0.02,0.04
0.819,-0.02,-0.00,-0.02,0.03
0.829,-0.00,0.01,-0.01,0.02
0.839,-0.01,-0.00,-0.01,0.01
0.849,-0.01,-0.00,0.01,0.01
0.859,0.00,0.00,-0.02,0.02
0.869,0.01,0.02,-0.02,0.03
0.879,-0.00,0.00,-0.02,0.02
0.889,0.00,-0.00,-0.03,0.03
0.899,-0.01,-0.01,-0.01,0.02
0.909,-0.02,-0.01,-0.03,0.03
0.918,-0.03,-0.01,-0.02,0.04
0.928,-0.03,0.01,-0.03,0.04
0.939,0.00,0.02,-0.01,0.02
0.948,-0.03,0.02,-0.01,0.04
0.958,-0.03,-0.00,-0.02,0.04
0.968,-0.02,-0.00,-0.01,0.02
0.978,-0.02,-0.01,-0.01,0.02
0.988,-0.01,0.01,-0.01,0.02
0.998,-0.02,0.01,-0.01,0.02
1.008,-0.01,0.01,-0.01,0.02
1.018,-0.02,0.00,-0.01,0.03
1.028,0.01,0.01,-0.01,0.02
1.038,0.00,0.02,-0.02,0.03
1.048,0.01,-0.01,0.01,0.02
