time,ax,ay,az,atotal
1.428,-0.01,-0.01,-0.01,0.02
1.438,-0.05,0.01,-0.01,0.06
1.448,-0.05,0.02,-0.02,0.06
1.458,-0.18,0.05,-0.03,0.19
1.468,-0.20,0.03,-0.03,0.20
1.478,-0.20,0.01,-0.04,0.20
1.488,-0.17,0.01,-0.02,0.17
1.498,-0.15,-0.04,-0.02,0.16
1.508,-0.10,-0.04,-0.02,0.11
1.518,-0.03,-0.05,-0.01,0.06
1.528,0.06,-0.04,-0.00,0.07
1.538,0.10,-0.04,0.01,0.11
1.548,0.14,-0.02,0.02,0.14
1.558,0.20,-0.02,0.03,0.20
1.568,0.23,-0.00,0.01,0.23
1.578,0.21,-0.01,0.00,0.21
1.588,0.21,-0.02,0.03,0.21
1.598,0.16,-0.03,0.01,0.16
1.608,0.11,-0.04,-0.00,0.12
1.618,0.09,-0.03,-0.01,0.09
1.628,0.02,-0.03,0.00,0.04
1.638,-0.07,-0.02,-0.02,0.07
1.648,-0.11,-0.01,-0.03,0.12
1.658,-0.17,-0.02,-0.04,0.17
1.668,-0.16,0.00,-0.02,0.16
1.678,-0.14,-0.02,-0.03,0.15
1.688,-0.09,-0.01,-0.01,0.09
1.698,-0.05,-0.01,-0.00,0.05
1.708,-0.05,-0.02,-0.00,0.05
1.718,0.02,-0.01,-0.02,0.03
1.727,0.05,-0.02,-0.01,0.05
1.738,0.05,-0.03,0.00,0.06
1.747,0.07,-0.03,0.00,0.08
1.757,0.07,-0.01,-0.00,0.07
1.768,0.02,-0.01,-0.01,0.03
1.777,-0.03,-0.01,-0.02,0.04
1.787,-0.05,-0.01,-0.01,0.05
1.797,-0.09,-0.02,-0.01,0.09
1.807,-0.08,-0.03,-0.02,0.09
1.818,-0.06,-0.03,-0.03,0.07
1.827,-0.05,-0.03,-0.02,0.06
1.837,-0.01,-0.04,-0.02,0.04
1.847,0.03,-0.03,0.00,0.04
1.857,0.03,-0.02,-0.01,0.04
1.867,0.01,-0.03,-0.02,0.03
1.877,0.01,-0.02,-0.01,0.02
1.887,0.01,-0.01,0.00,0.02
1.897,0.00,-0.01,-0.01,0.01
1.907,-0.01,-0.01,-0.02,0.02
1.917,-0.02,-0.02,-0.01,0.03
1.927,0.01,-0.02,0.02,0.03
1.937,0.02,-0.02,-0.01,0.03
1.947,0.00,-0.02,-0.01,0.02
1.957,0.01,-0.04,-0.00,0.04
1.967,0.02,-0.01,-0.00,0.02
1.977,0.01,-0.03,-0.01,0.03
1.987,0.03,-0.01,0.01,0.04
1.997,0.02,-0.03,-0.01,0.04
2.007,0.05,-0.03,0.00,0.06
2.017,0.03,-0.02,-0.01,0.04
2.027,0.02,-0.02,-0.01,0.03
2.037,-0.01,-0.01,-0.01,0.01
2.047,-0.02,-0.01,-0.01,0.03
2.057,-0.06,-0.02,-0.01,0.06
2.067,-0.05,-0.02,-0.01,0.05
2.077,-0.03,-0.02,-0.03,0.04
2.087,-0.02,-0.02,0.00,0.03
2.097,-0.00,-0.02,-0.00,0.02
2.107,-0.00,-0.01,-0.01,0.02
2.117,0.00,-0.02,-0.01,0.02
2.127,0.00,-0.02,-0.01,0.02
2.137,-0.01,-0.02,-0.01,0.02
2.147,0.01,-0.02,-0.00,0.02
2.157,0.01,-0.02,-0.01,0.03
2.167,-0.01,-0.01,-0.01,0.02
2.177,-0.01,-0.01,-0.00,0.01
