frame,x,y,theta,velocity
0,0.0,0.0,0.0,0.10250000000000001
1,0.004999999999993542,5.989917565339825e-09,3.5939505392072106e-06,0.10500000000000001
2,0.009999999999793337,4.7919340522055426e-08,1.4375802156828842e-05,0.10750000000000001
3,0.014999999998430647,1.6172777425223834e-07,3.234555485286489e-05,0.11
4,0.019999999993386763,3.83354724091559e-07,5.750320862731537e-05,0.1125
5,0.024999999979818,7.487396952364243e-07,8.984876348018028e-05,0.115
6,0.029999999949780722,1.293822192567576e-06,0.00012938221941145956,0.11750000000000001
7,0.034999999891456364,2.0545417203622837e-06,0.00017610357642115337,0.12000000000000001
8,0.039999999788376386,3.0668377818672603e-06,0.00023001283450926148,0.12
9,0.04499999961864737,4.366649878704484e-06,0.000291109993675784,0.12
10,0.049999999354175984,5.989917510082029e-06,0.0003593950539207211,0.12
11,0.05499999895989396,7.972580171782079e-06,0.0004348680152440725,0.12
12,0.059999998392983186,1.0350577354898283e-05,0.0005175288776458382,0.12
13,0.06499999760210065,1.315984854429458e-05,0.0006073776411260187,0.12
14,0.06999999652660349,1.6436333216757595e-05,0.0007044143056846135,0.12
15,0.07499999509577396,2.0215970838814883e-05,0.0008086388713216224,0.12
16,0.07999999322804455,2.4534700864191044e-05,0.0009200513380370459,0.12
17,0.08499999083022286,2.9428462730873902e-05,0.001038651705830884,0.12
18,0.08999998779671667,3.493319585776284e-05,0.001164439974703136,0.12
19,0.09499998400875904,4.108483964087169e-05,0.001297416144653803,0.12
20,0.09999997933363322,4.7919333449057835e-05,0.0014375802156828845,0.12
21,0.10499997362389764,5.547261661925016e-05,0.0015849321877903799,0.12
22,0.10999996671661111,6.378062845114785e-05,0.00173947206097629,0.12
23,0.1149999584325576,7.287930820136195e-05,0.0019011998352406149,0.12
24,0.11999994857547149,8.280459507697205e-05,0.002070115510583353,0.12
25,0.1249999369312624,9.359242822847051e-05,0.0022462190870045067,0.12
26,0.1299999232672404,0.00010527874674206561,0.0024295105645040747,0.12
27,0.13499990733134087,0.0001178994896313166,0.002619989943082057,0.12
28,0.1399998888513497,0.00013149059582807232,0.002817657222738454,0.12
29,0.1449998675341282,0.00014608800417268545,0.0030225124034732637,0.12
30,0.1499998430648382,0.00016172765340347558,0.0032345554852864894,0.12
31,0.15499981510616712,0.00017844548214541087,0.0034537864681781294,0.12
32,0.15999978329755293,0.00019627742889798363,0.0036802053521481836,0.12
33,0.1649997472544094,0.00021525943202224936,0.003913812137196653,0.12
34,0.16999970656735094,0.0002354274297270026,0.004154606823323536,0.12
35,0.17499966080141782,0.00025681736005406177,0.004402589410528834,0.12
36,0.17999960949530128,0.0002794651608626342,0.004657759898812544,0.12
37,0.18499955216056846,0.00030340676981273584,0.004920118288174672,0.12
38,0.18999948828088772,0.00032867812434763326,0.005189664578615212,0.12
39,0.19499941731125356,0.00035531516167528637,0.005466398770134168,0.12
40,0.1999993386772119,0.00038335381874875815,0.005750320862731538,0.12
41,0.20499925177408507,0.0004128300322455672,0.006041430856407322,0.12
42,0.20999915596619714,0.0004437797385459537,0.0063397287511615195,0.12
43,0.21499905058609892,0.00047623887371003176,0.006645214546994133,0.12
