time,x,y,psi,velocity_x,velocity_y,velocity,acceleration,distance_from_start,distance_from_last_waypoint
110.2,3.700983259144221,1.0460240768593023,-1.477386531234815,0.011835311464931875,-0.12633438265332902,0.1268875519421417,-0.1,12.6078961078209,5.258514061316905
110.25,3.701513309746387,1.039726900948979,-1.4733090405426446,0.012341794520358964,-0.1261977057336711,0.1267997666576126,-0.1,12.614215552265346,5.2648335057613505
110.30000000000001,3.702043360348554,1.0334297250386535,-1.469231549850473,0.012847359895989044,-0.12605900034188586,0.12671198137308345,-0.1,12.620534996709791,5.271152950205796
110.35000000000001,3.70257341095072,1.02713254912833,-1.4651540591583025,0.013351999476377293,-0.12591827168864528,0.12662419608855435,-0.1,12.626854441154235,5.277472394650239
110.4,3.703103461552886,1.0208353732180067,-1.4610765684661322,0.013855705173312303,-0.12577552501705286,0.12653641080402525,-0.1,12.63317388559868,5.283791839094684
110.45,3.7036335121550525,1.0145381973076832,-1.4569990777739619,0.014358468925945162,-0.1256307656025085,0.12644862551949612,-0.1,12.639493330043123,5.290111283539128
110.5,3.7042936808305607,1.008278678146424,-1.452854087660501,0.014868788958970116,-0.1254833008661866,0.1263611478318407,-0.1,12.645790585994366,5.29640853949037
110.55000000000001,3.705230968518775,1.0020993584597968,-1.4485653406306795,0.015396230695801018,-0.12533220375220877,0.12627432524873575,-0.1,12.652040585994367,5.302658539490372
110.60000000000001,3.706168256206989,0.9959200387731711,-1.4442765936008595,0.015922650083155382,-0.12517889216364703,0.1261875026656308,-0.1,12.658290585994367,5.308908539490371
110.65,3.707105543895203,0.9897407190865457,-1.4399878465710392,0.01644803783465125,-0.12502337208964337,0.12610068008252587,-0.1,12.664540585994366,5.315158539490371
110.7,3.708042831583417,0.9835613993999202,-1.435699099541219,0.01697238469646997,-0.12486564955823277,0.12601385749942093,-0.1,12.670790585994366,5.3214085394903705
110.75,3.7089801192716307,0.9773820797132946,-1.431410352511399,0.017495681447519198,-0.12470573063617406,0.125927034916316,-0.1,12.677040585994366,5.32765853949037
110.80000000000001,3.7099174069598453,0.9712027600266673,-1.4271216054815776,0.018017918899594792,-0.12454362142877996,0.12584021233321102,-0.1,12.683290585994367,5.333908539490372
110.85000000000001,3.710854694648059,0.9650234403400418,-1.4228328584517573,0.01853908789754116,-0.12437932807974694,0.12575338975010608,-0.1,12.689540585994367,5.340158539490371
110.9,3.711791982336273,0.9588441206534163,-1.4185441114219373,0.019059179319412232,-0.12421285677098365,0.12566656716700114,-0.1,12.695790585994366,5.346408539490371
110.95,3.712729270024487,0.9526648009667907,-1.414255364392117,0.019578184076630267,-0.12404421372243926,0.1255797445838962,-0.1,12.702040585994366,5.3526585394903705
111.0,3.713666557712701,0.9464854812801652,-1.409966617362297,0.02009609311414417,-0.12387340519193103,0.12549292200079126,-0.1,12.708290585994366,5.35890853949037
111.05000000000001,3.7146038454009154,0.940306161593538,-1.4056778703324755,0.020612897410587337,-0.12370043747497105,0.1254060994176863,-0.1,12.714540585994367,5.365158539490372
111.10000000000001,3.715541133089129,0.9341268419069124,-1.4013891233026552,0.021128587978433637,-0.12352531690459259,0.12531927683458136,-0.1,12.720790585994367,5.371408539490371
111.15,3.716478420777343,0.9279475222202869,-1.3971003762728351,0.02164315586415402,-0.12334804985117546,0.12523245425147642,-0.1,12.727040585994366,5.377658539490371
111.2,3.7174157084655572,0.9217682025336613,-1.3928116292430148,0.022156592148370992,-0.12316864272227103,0.12514563166837148,-0.1,12.733290585994366,5.3839085394903705
